Hospital Name,Address 1,City,State,ZIP Code,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Attack,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Heart Failure,Upper Mortality Estimate - Hospital 30-Day Death (Mortality) Rates from Pneumonia
BUTLER COUNTY HEALTH CARE CENTER,372 SOUTH 9TH ST,DAVID CITY,NE,68632,Not Available,17.6,17.6
ROCK COUNTY HOSPITAL,102 EAST SOUTH STREET,BASSETT,NE,68714,Not Available,Not Available,18.1
BOONE COUNTY HEALTH CENTER,"P O BOX 151, 723 WEST FAIRVIEW ST",ALBION,NE,68620,Not Available,15.7,16.9
CALLAWAY DISTRICT HOSPITAL,"P O BOX 100, 211 E KIMBALL ST",CALLAWAY,NE,68825,Not Available,Not Available,16.6
YORK GENERAL HOSPITAL,2222 LINCOLN AVE,YORK,NE,68467,Not Available,15.4,17.5
HOWARD COUNTY MEDICAL CENTER,"P O BOX 406, 1113 SHERMAN ST",ST PAUL,NE,68873,Not Available,Not Available,14.2
MEMORIAL HEALTH CARE SYSTEMS,300 NORTH COLUMBIA AVE,SEWARD,NE,68434,Not Available,18.1,14.5
DUNDY COUNTY HOSPITAL,"P O BOX 626, 1313 NORTH CHEYENNE ST",BENKELMAN,NE,69021,Not Available,Not Available,21.4
CHADRON COMMUNITY HOSPITAL AND HEALTH SERVICES,825 CENTENNIAL DRIVE,CHADRON,NE,69337,Not Available,18.1,19.9
ST MARY'S COMMUNITY HOSPITAL,1314  3RD AVE,NEBRASKA CITY,NE,68410,Not Available,Not Available,17.4
WEST HOLT MEMORIAL HOSPITAL,406 W NEELY ST,ATKINSON,NE,68713,Not Available,Not Available,16.9
CHERRY COUNTY HOSPITAL,"P O BOX 410, 510 NORTH GREEN ST",VALENTINE,NE,69201,Not Available,Not Available,15.5
PROVIDENCE MEDICAL CENTER,1200 PROVIDENCE RD,WAYNE,NE,68787,Not Available,18.2,16.3
ALEGENT HEALTH PLAINVIEW HOSPITAL,"P O BOX 489, 704 NORTH THIRD ST",PLAINVIEW,NE,68769,Not Available,Not Available,17.6
OSMOND GENERAL HOSPITAL,"P O BOX 429, 402 NORTH MAPLE ST",OSMOND,NE,68765,Not Available,Not Available,16.7
TRI VALLEY HEALTH SYSTEM,1305 WEST HIGHWAY 6/34,CAMBRIDGE,NE,69022,Not Available,15.7,13.8
PENDER COMMUNITY HOSPITAL,"P O BOX 100, 100 HOSPITAL DRIVE",PENDER,NE,68047,Not Available,18.9,17.6
JOHNSON COUNTY HOSPITAL,202 HIGH ST,TECUMSEH,NE,68450,Not Available,19,17.6
CHASE COUNTY COMMUNITY HOSPITAL,"P O BOX 819, 600 W 12TH ST",IMPERIAL,NE,69033,Not Available,Not Available,22
"COMMUNITY MEDICAL CENTER, INC","P O BOX 399, 2307 BARADA ST",FALLS CITY,NE,68355,Not Available,18.1,15.6
VALLEY COUNTY HEALTH SYSTEM,2707 L STREET,ORD,NE,68862,Not Available,18.7,15.9
CRETE AREA MEDICAL CENTER,"P O BOX 220, 2910 BETTEN DR",CRETE,NE,68333,Not Available,16.3,16.7
OGALLALA COMMUNITY HOSPITAL,2601 NORTH SPRUCE ST,OGALLALA,NE,69153,Not Available,15.7,16.8
PERKINS COUNTY HEALTH SERVICES,900 LINCOLN AVE,GRANT,NE,69140,Not Available,Not Available,17.3
SIDNEY REGIONAL MEDICAL CENTER,645 OSAGE ST,SIDNEY,NE,69162,Not Available,14.5,18.1
GORDON MEMORIAL HOSPITAL DISTRICT,300 EAST 8TH ST,GORDON,NE,69343,Not Available,Not Available,15.3
MEMORIAL COMMUNITY HOSPITAL,810 NORTH 22ND ST,BLAIR,NE,68008,Not Available,15.8,23.4
BOX BUTTE GENERAL HOSPITAL,"P O BOX 810, 2101 BOX BUTTE AVE",ALLIANCE,NE,69301,Not Available,15.3,13.1
LEXINGTON REGIONAL HEALTH CENTER,"P O BOX 980, 1201 NORTH ERIE ST",LEXINGTON,NE,68850,Not Available,17.6,14.2
PHELPS MEMORIAL HEALTH CENTER,1215 TIBBALS ST,HOLDREGE,NE,68949,Not Available,19.9,13.9
COMMUNITY HOSPITAL,"P O BOX 1328, 1301 EAST H ST",MCCOOK,NE,69001,Not Available,18.9,20.6
"BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC","P O BOX 278, 4800 HOSPITAL PARKWAY",BEATRICE,NE,68310,Not Available,17,20.4
JENNIE M MELHAM MEMORIAL MEDICAL CENTER,145 MEMORIAL DRIVE,BROKEN BOW,NE,68822,Not Available,15.9,16
CHILDREN'S HOSPITAL & MEDICAL CENTER,8200 DODGE ST,OMAHA,NE,68114,Not Available,Not Available,Not Available
RENOWN REGIONAL MEDICAL CENTER,1155 MILL STREET,RENO,NV,89502,17,16.7,18.4
SUNRISE HOSPITAL AND MEDICAL CENTER,3186 S MARYLAND PKWY,LAS VEGAS,NV,89109,16.7,12.3,18.3
NORTH VISTA HOSPITAL,1409 EAST LAKE MEAD BLVD,NORTH LAS VEGAS,NV,89030,19.4,15.1,14.8
BANNER CHURCHILL COMMUNITY HOSPITAL,801 EAST WILLIAMS AVENUE,FALLON,NV,89406,Not Available,16.6,17.2
UMC OF SOUTHERN NEVADA,1800 W CHARLESTON BLVD,LAS VEGAS,NV,89102,19.5,15.6,15.5
NORTHEASTERN NEVADA REGIONAL HOSPITAL,2001 ERRECART BLVD,ELKO,NV,89801,20,17.8,16.2
SAINT MARY'S REGIONAL MEDICAL CENTER,235 W 6TH ST,RENO,NV,89503,19.3,18,18
SAINT ROSE DOMINICAN HOSPITAL - DE LIMA,102 E LAKE MEAD DR,HENDERSON,NV,89015,20.3,15.4,19.3
CARSON TAHOE REGIONAL MEDICAL CENTER,1600 MEDICAL PARKWAY,CARSON CITY,NV,89703,19.8,17.8,18.1
NYE REGIONAL MEDICAL CENTER,825 ERIE MAIN ST (AKA SOUTH MAIN),TONOPAH,NV,89049,Not Available,Not Available,Not Available
VALLEY HOSPITAL MEDICAL CENTER,620 SHADOW LANE,LAS VEGAS,NV,89106,21.6,17,18.2
DESERT SPRINGS HOSPITAL,2075 EAST FLAMINGO ROAD,LAS VEGAS,NV,89119,24.5,16.9,17.2
VA SIERRA NEVADA HEALTHCARE SYSTEM,1000 LOCUST STREET,RENO                          ,NV,89502,19.4,14.2,14.6
NORTHERN NEVADA MEDICAL CENTER,2375 PRATER WAY,SPARKS,NV,89434,23.5,15,16.1
MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,LAS VEGAS,NV,89128,20.7,12,13.1
SUMMERLIN HOSPITAL MEDICAL CENTER,657 TOWN CENTER DRIVE,LAS VEGAS,NV,89144,19.7,14.1,15.2
SAINT ROSE DOMINICAN HOSPITAL - SIENA CAMPUS,3001 ST ROSE PARKWAY,HENDERSON,NV,89052,18.3,14.8,17.1
SPRING VALLEY HOSPITAL MEDICAL CENTER,5400 SOUTH RAINBOW BLVD,LAS VEGAS,NV,89118,19.9,14.6,10.4
SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,9300 WEST SUNSET,LAS VEGAS,NV,89148,20.2,14.2,14.5
RENOWN SOUTH MEADOWS MEDICAL CENTER,10101 DOUBLE R BLVD,RENO,NV,89521,Not Available,15.3,16.8
SIERRA SURGERY HOSPITAL,1400 MEDICAL PKWY,CARSON CITY,NV,89703,Not Available,Not Available,Not Available
SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,8280 W WARM SPRINGS ROAD,LAS VEGAS,NV,89113,20.3,14.5,14.1
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,6900 N DURANGO DR,LAS VEGAS,NV,89149,20,15,17.5
CARSON VALLEY MEDICAL CENTER,1107 HIGHWAY 395,GARDNERVILLE,NV,89410,Not Available,16.5,19.5
MESA VIEW REGIONAL HOSPITAL,1299 BERTHA HOWE AVENUE,MESQUITE,NV,89027,Not Available,15.9,15.6
HUMBOLDT GENERAL HOSPITAL,118 EAST HASKELL STREET,WINNEMUCCA,NV,89445,Not Available,Not Available,20.1
BOULDER CITY HOSPITAL,901 ADAMS BLVD,BOULDER CITY,NV,89005,Not Available,Not Available,20
DESERT VIEW REGIONAL MEDICAL CENTER,360 SOUTH LOLA LANE,PAHRUMP,NV,89048,Not Available,14.7,15.1
CONCORD HOSPITAL,250 PLEASANT ST,CONCORD,NH,3301,20.5,14.5,16.9
MARY HITCHCOCK MEMORIAL HOSPITAL,1 MEDICAL CENTER DRIVE,LEBANON,NH,3756,16,13.7,16.6
LAKES REGION GENERAL HOSPITAL,80 HIGHLAND ST,LACONIA,NH,3246,22.8,18.4,19.5
ST JOSEPH HOSPITAL,172 KINSLEY ST,NASHUA,NH,3060,17.8,16.1,15.2
ELLIOT HOSPITAL,1 ELLIOT WAY,MANCHESTER,NH,3103,18,15.7,18.2
FRISBIE MEMORIAL HOSPITAL,11 WHITEHALL ROAD,ROCHESTER,NH,3867,19.2,14.2,14.1
PARKLAND MEDICAL CENTER,1 PARKLAND DRIVE,DERRY,NH,3038,18.7,13.9,15
WENTWORTH-DOUGLASS HOSPITAL,789 CENTRAL AVE,DOVER,NH,3820,18.4,13.5,13.5
CHESHIRE MEDICAL CENTER,580 COURT STREET,KEENE,NH,3431,20,14.4,14.6
SOUTHERN NH MEDICAL CENTER,8 PROSPECT STREET,NASHUA,NH,3060,19.4,14.4,13.5
EXETER HOSPITAL INC,5 ALUMNI DRIVE,EXETER,NH,3833,19,14.2,10.5
PORTSMOUTH REGIONAL HOSPITAL,333 BORTHWICK AVE,PORTSMOUTH,NH,3801,18.1,14.8,16
CATHOLIC MEDICAL CENTER,100 MCGREGOR STREET,MANCHESTER,NH,3102,15,13.5,14.1
UPPER CONNECTICUT VALLEY HOSPITAL,181 CORLISS LANE,COLEBROOK,NH,3576,Not Available,15.6,19.8
COTTAGE HOSPITAL,90 SWIFTWATER RD,WOODSVILLE,NH,3785,Not Available,17.1,18.3
LITTLETON REGIONAL HOSPITAL,600 ST JOHNSBURY ROAD,LITTLETON,NH,3561,Not Available,18.7,19.4
WEEKS MEDICAL CENTER,173 MIDDLE STREET,LANCASTER,NH,3584,21.6,15.8,19.1
NEW LONDON HOSPITAL,273 COUNTY ROAD,NEW LONDON,NH,3257,Not Available,17.4,19.1
ALICE PECK DAY MEMORIAL HOSPITAL,125 MASCOMA ST,LEBANON,NH,3766,Not Available,Not Available,15.7
FRANKLIN REGIONAL HOSPITAL,15 AIKEN AVENUE,FRANKLIN,NH,3235,23.8,20.8,18.2
"MEMORIAL HOSPITAL, THE",3073 WHITE MOUNTAIN HIGHWAY,NORTH CONWAY,NH,3860,21.1,18.4,18.9
VALLEY REGIONAL HOSPITAL,243 ELM STREET,CLAREMONT,NH,3743,20.9,14.7,17.8
MONADNOCK COMMUNITY HOSPITAL,452 OLD STREET ROAD,PETERBOROUGH,NH,3458,20.9,16.7,19.2
ANDROSCOGGIN VALLEY HOSPITAL,59 PAGE HILL ROAD,BERLIN,NH,3570,20.5,17.9,16.1
SPEARE MEMORIAL HOSPITAL,16 HOSPITAL ROAD,PLYMOUTH,NH,3264,Not Available,14.7,16.2
HUGGINS HOSPITAL,240 SOUTH MAIN STREET,WOLFEBORO,NH,3894,21.3,19,17.7
HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,7601,14,11.2,11.5
NEWARK BETH ISRAEL MEDICAL CENTER,201 LYONS AVE,NEWARK,NJ,7112,18.1,12,14.3
PALISADES MEDICAL CTR-NY PRESBYTERIAN HEALTHCARE S,7600 RIVER RD,NORTH BERGEN,NJ,7047,15.6,10.7,14.7
HUNTERDON MEDICAL CENTER,2100 WESCOTT DRIVE,FLEMINGTON,NJ,8822,16.7,15.3,15
"ST MARY'S HOSPITAL, PASSAIC",350 BOULEVARD,PASSAIC,NJ,7055,19.5,14.1,16.6
HOLY NAME MEDICAL CENTER,718 TEANECK RD,TEANECK,NJ,7666,14.4,10.9,12
CLARA MAASS MEDICAL CENTER,ONE CLARA MAAS DRIVE,BELLEVILLE,NJ,7109,17.9,11.8,12.9
UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO,ONE-FIVE PLAINSBORO ROAD,PLAINSBORO,NJ,8536,18.7,14.3,12.3
CAPE REGIONAL MEDICAL CENTER INC,TWO STONE HARBOR BLVD,CAPE MAY COURT HOUSE,NJ,8210,20.6,12.2,11.6
VALLEY HOSPITAL,223 N VAN DIEN AVENUE,RIDGEWOOD,NJ,7450,15.5,10.2,12.2
COOPER UNIVERSITY HOSPITAL,1 COOPER PLAZA,CAMDEN,NJ,8103,20.6,13.8,15.5
MORRISTOWN MEMORIAL HOSPITAL,100 MADISON AVE,MORRISTOWN,NJ,7962,14,12.9,11.6
CHRIST HOSPITAL,176 PALISADE AVE,JERSEY CITY,NJ,7306,19.2,15.2,17.3
CHILTON HOSPITAL,97 WEST PARKWAY,POMPTON PLAINS,NJ,7444,18.5,14.1,12.5
ST JOSEPH'S REGIONAL MEDICAL CENTER,703 MAIN ST,PATERSON,NJ,7503,19.7,12.8,15.6
VA NEW JERSEY HEALTH CARE SYSTEM,385 TREMONT AVENUE,EAST ORANGE                   ,NJ,7018,Not Available,15.8,18.4
ST FRANCIS MEDICAL CENTER,601 HAMILTON AVE,TRENTON,NJ,8629,20.5,13.7,16.9
VIRTUA WEST JERSEY HOSPITALS BERLIN,WHITEHORSE PIKE AND TOWNSEND AVENUE,BERLIN,NJ,8009,16.5,12.3,12.1
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY,865 STONE ST,RAHWAY,NJ,7065,24.2,14.7,15.4
BAYONNE HOSPITAL CENTER,29 EAST 29TH ST,BAYONNE,NJ,7002,16.7,13.4,16.3
TRINITAS REGIONAL MEDICAL CENTER,225 WILLIAMSON STREET,ELIZABETH,NJ,7207,21.9,15.7,17
NEWTON MEMORIAL HOSPITAL,175 HIGH ST,NEWTON,NJ,7860,20.7,13.3,12.3
OUR LADY OF LOURDES MEDICAL CENTER,1600 HADDON AVENUE,CAMDEN,NJ,8103,17.2,11,12.6
DEBORAH HEART AND LUNG CENTER,200 TRENTON ROAD,BROWNS MILLS,NJ,8015,20.4,11.9,18.4
SOUTH JERSEY HEALTHCARE REGIONAL MEDICAL CENTER,1505 W SHERMAN AVE,VINELAND,NJ,8360,16.1,13.4,16.7
RIVERVIEW MEDICAL CENTER,ONE RIVERVIEW PLAZA,RED BANK,NJ,7701,17.5,13.7,11.9
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,ONE ROBERT WOOD JOHNSON PL,NEW BRUNSWICK,NJ,8901,18.3,11.4,11.5
RARITAN BAY MEDICAL CENTER,530 NEW BRUNSWICK AVE,PERTH AMBOY,NJ,8861,19.1,12.4,11.6
HOBOKEN UNIVERSITY MEDICAL CENTER,308 WILLOW AVE,HOBOKEN,NJ,7030,19.3,11.3,15.7
COMMUNITY MEDICAL CENTER,99 RT 37 WEST,TOMS RIVER,NJ,8755,16,12.6,10.5
CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,ONE CAPITAL WAY,PENNINGTON,NJ,8534,18.6,12.3,17.4
ENGLEWOOD HOSPITAL AND MEDICAL CENTER,350 ENGLE ST,ENGLEWOOD,NJ,7631,15.2,11.5,11.1
SHORE MEDICAL CENTER,1 EAST NEW YORK AVE,SOMERS POINT,NJ,8244,18.7,13,12.7
SOMERSET MEDICAL CENTER,110 REHILL AVE,SOMERVILLE,NJ,8876,20.7,16.1,15
SAINT CLARE'S HOSPITAL,25 POCONO ROAD,DENVILLE,NJ,7834,16.6,13.7,11.8
OVERLOOK HOSPITAL,99 BEAUVIOR AVE,SUMMIT,NJ,7902,16.3,13.8,12.2
OCEAN MEDICAL CENTER,425 JACK MARTIN BLVD,BRICK,NJ,8724,17.7,12.9,12.4
MOUNTAINSIDE HOSPITAL,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,7042,18.2,12.4,12.9
VIRTUA MEMORIAL HOSPITAL OF BURLINGTON COUNTY,175 MADISON AVE,MOUNT HOLLY,NJ,8060,17.2,15.9,15.5
BERGEN REGIONAL MEDICAL CENTER,230 EAST RIDGEWOOD AVE,PARAMUS,NJ,7652,20.2,18,20.8
ST LUKE'S WARREN HOSPITAL,185 ROSEBERRY ST,PHILLIPSBURG,NJ,8865,19.1,13.1,15.4
LOURDES MEDICAL CENTER OF BURLINGTON COUNTY,218A SUNSET ROAD,WILLINGBORO,NJ,8046,18.5,12.1,15
ATLANTICARE REGIONAL MEDICAL CENTER - CITY DIV,1925 PACIFIC AVE,ATLANTIC CITY,NJ,8401,18,11.3,14
SOUTH JERSEY HEALTHCARE-ELMER HOSPITAL,501 WEST FRONT STREET,ELMER,NJ,8318,17.8,12.9,14
SAINT PETER'S UNIVERSITY HOSPITAL,254 EASTON AVE,NEW BRUNSWICK,NJ,8901,19.3,15,12
JERSEY SHORE UNIVERSITY MEDICAL CENTER,1945 RTE 33,NEPTUNE,NJ,7754,17.8,9.6,11.7
LIBERTYHEALTH-JERSEY CITY MEDICAL CENTER CAMPUS,355 GRAND STREET,JERSEY CITY,NJ,7302,18.2,11.6,15
MONMOUTH MEDICAL CENTER,300 SECOND AVENUE,LONG BRANCH,NJ,7740,16.9,13.2,12.7
SAINT BARNABAS MEDICAL CENTER,94 OLD SHORT HILLS ROAD,LIVINGSTON,NJ,7039,16.8,11.5,12.1
UNDERWOOD - MEMORIAL HOSPITAL,509 N BROAD ST,WOODBURY,NJ,8096,15.4,13.4,13.3
EAST ORANGE GENERAL HOSPITAL,300 CENTRAL AVE,EAST ORANGE,NJ,7018,15.1,8.9,12.2
KIMBALL MEDICAL CENTER,600 RIVER AVE,LAKEWOOD,NJ,8701,17,12.6,11.7
KENNEDY UNIVERSITY HOSPITAL - STRATFORD DIV,18 EAST LAUREL ROAD,STRATFORD,NJ,8084,19.2,12.3,12.5
MEMORIAL HOSPITAL OF SALEM COUNTY,310 WOODSTOWN ROAD,SALEM,NJ,8079,21.6,12.8,15.3
CAPITAL HEALTH SYSTEM-FULD CAMPUS,750 BRUNSWICK AVE,TRENTON,NJ,8638,21.3,15.3,13.6
"SAINT MICHAEL'S MEDICAL CENTER, INC",111 CENTRAL AVENUE,NEWARK,NJ,7102,21.7,10.2,16.6
JFK MEDICAL CTR - ANTHONY M. YELENCSICS COMMUNITY,65 JAMES STREET,EDISON,NJ,8818,19.1,15.2,16.5
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,ONE HAMILTON HEALTH PLACE,HAMILTON,NJ,8690,19.2,13.1,16.2
CENTRASTATE MEDICAL CENTER,901 WEST MAIN STREET,FREEHOLD,NJ,7728,18.2,10.8,14.1
BAYSHORE COMMUNITY HOSPITAL,727 N BEERS ST,HOLMDEL,NJ,7733,18.2,12.3,14
SOUTHERN OCEAN MEDICAL CENTER,1140 RT 72 W,MANAHAWKIN,NJ,8050,18.8,15.1,14
HACKETTSTOWN REGIONAL MEDICAL CENTER,651 WILLOW GROVE ST,HACKETTSTOWN,NJ,7840,15.4,13,13.3
MEADOWLANDS HOSPITAL MEDICAL CENTER,55 MEADOWLANDS PKWY,SECAUCUS,NJ,7094,19.5,13,16.4
UMDNJ UNIVERSITY HOSPITAL,150 BERGEN ST,NEWARK,NJ,7103,20.5,15.7,13.7
SAINT CLARE'S HOSPITAL/SUSSEX,20 WALNUT ST,SUSSEX,NJ,7461,20.7,17.5,16.5
UNM HOSPITAL,2211 LOMAS BOULEVARD NE,ALBUQUERQUE,NM,87106,20.2,17.8,22
ST VINCENT HOSPITAL,455 ST MICHAEL'S DRIVE,SANTA FE,NM,87505,17.4,14,14.8
ALTA VISTA REGIONAL HOSPITAL,104 LEGION AVE,LAS VEGAS,NM,87701,Not Available,15.2,15.5
GERALD CHAMPION REGIONAL MEDICAL CENTE,2669 NORTH SCENIC DRIVE,ALAMOGORDO,NM,88310,21.7,13.9,17.3
SAN JUAN REGIONAL MEDICAL CENTER,801 WEST MAPLE STREET,FARMINGTON,NM,87401,18.8,19.3,15
EASTERN NEW MEXICO MEDICAL CENTER,405 W COUNTRY CLUB RD,ROSWELL,NM,88201,22.6,14.6,15.1
LOVELACE MEDICAL CENTER,601 DR MARTIN LUTHER KING JR AVE NE,ALBUQUERQUE,NM,87102,20.9,16,16.3
ESPANOLA HOSPITAL,1010 SPRUCE STREET,ESPANOLA,NM,87532,Not Available,15.1,15.1
HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS,1397 WEIMER ROAD,TAOS,NM,87571,Not Available,15,15.2
MIMBRES MEMORIAL HOSPITAL,900 W ASH,DEMING,NM,88031,Not Available,16.2,17.5
GILA REGIONAL MEDICAL CENTER,1313 E 32ND ST,SILVER CITY,NM,88061,Not Available,14.4,16.9
LOVELACE WOMEN'S HOSPITAL,4701 MONTGOMERY BOULEVARD NE,ALBUQUERQUE,NM,87109,Not Available,15.3,19.4
MEMORIAL MEDICAL CENTER INC,2450 SOUTH TELSHOR BLVD,LAS CRUCES,NM,88011,19.5,16.4,13.7
PRESBYTERIAN HOSPITAL,1100 CENTRAL AVENUE SE,ALBUQUERQUE,NM,87106,18.7,13.5,14.8
PLAINS REGIONAL MEDICAL CENTER  CLOVIS,"2100 MARTIN LUTHER KING, JR, BLVD",CLOVIS,NM,88101,20.5,18.4,18
ARTESIA GENERAL HOSPITAL,702 N 13TH ST,ARTESIA,NM,88210,Not Available,15.5,14.3
LOS ALAMOS MEDICAL CENTER,3917 WEST ROAD,LOS ALAMOS,NM,87544,Not Available,15.4,16.9
REHOBOTH MCKINLEY CHRISTIAN HEALTH SER,1901 RED ROCK DRIVE,GALLUP,NM,87301,Not Available,14.9,14.1
SANTA FE PHS INDIAN HOSPITAL,1700 CERRILLOS ROAD,SANTA FE,NM,87501,Not Available,Not Available,Not Available
MESCALERO PHS INDIAN HOSPITAL,P O BOX 210,MESCALERO,NM,88340,Not Available,Not Available,Not Available
NORTHERN NAVAJO MEDICAL CENTER,US HWY 491 NORTH,SHIPROCK,NM,87420,Not Available,15.7,15.2
ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER,ROUTE 301 NORTH,ZUNI,NM,87327,Not Available,Not Available,16.3
GALLUP INDIAN MEDICAL CENTER,516 E NIZHONI BLVD,GALLUP,NM,87301,Not Available,15.5,15
CROWNPOINT HEALTHCARE FACILITY,JUNCTION OF HWY 371,CROWNPOINT,NM,87313,Not Available,Not Available,15
CARLSBAD MEDICAL CENTER,2430 WEST PIERCE,CARLSBAD,NM,88220,19.8,14.7,16.9
LEA REGIONAL MEDICAL CENTER,5419 N LOVINGTON HIGHWAY,HOBBS,NM,88240,22.3,17.1,16.7
GUADALUPE COUNTY HOSPITAL,117 CAMINO DE VIDA,SANTA ROSA,NM,88435,Not Available,Not Available,Not Available
DHHS USPHS INDIAN HEALTH SERVICES,EXIT #102 OFF I-40 1/2 MILE SOUTH,SAN FIDEL,NM,87049,Not Available,Not Available,Not Available
LOVELACE WESTSIDE HOSPITAL,10501 GOLF COURSE ROAD NW,ALBUQUERQUE,NM,87124,Not Available,16.2,13.6
ROOSEVELT GENERAL HOSPITAL,42121 US HIGHWAY 70,PORTALES,NM,88130,Not Available,19.9,18.1
MOUNTAIN VIEW REGIONAL MEDICAL CENTER,4311 EAST LOHMAN AVENUE,LAS CRUCES,NM,88011,23,19,18
LOVELACE REGIONAL HOSPITAL - ROSWELL,117 EAST 19TH STREET,ROSWELL,NM,88201,Not Available,12.7,18.2
SIERRA VISTA HOSPITAL,800 E NINTH AVENUE,T OR C,NM,87901,Not Available,18.2,18.5
SOCORRO GENERAL HOSPITAL,1202 HIGHWAY 60 WEST,SOCORRO,NM,87801,Not Available,14.9,18.8
DR DAN C TRIGG MEMORIAL HOSPITAL,301 EAST MIEL DE LUNA AVENUE,TUCUMCARI,NM,88401,Not Available,Not Available,18
UNION COUNTY GENERAL HOSPITAL,300 WILSON STREET,CLAYTON,NM,88415,Not Available,Not Available,17.1
NOR LEA GENERAL HOSPITAL,1600 NORTH MAIN,LOVINGTON,NM,88260,Not Available,15.3,16.8
LINCOLN COUNTY MEDICAL CENTER,211 SUDDERTH DRIVE,RUIDOSO,NM,88345,Not Available,16.3,19.8
MINERS' COLFAX MEDICAL CENTER,203 HOSPITAL DRIVE,RATON,NM,87740,20.6,13.9,15.4
CIBOLA GENERAL HOSPITAL,1016 ROOSEVELT AVENUE,GRANTS,NM,87020,Not Available,19.2,18.8
PENINSULA HOSPITAL CENTER,51-15 BEACH CHANNEL DRIVE,FAR ROCKAWAY,NY,11691,18.8,16.3,13.5
ALBANY MEMORIAL HOSPITAL,600 NORTHERN BOULEVARD,ALBANY,NY,12204,21.8,19.4,15.6
KINGSTON HOSPITAL,396 BROADWAY,KINGSTON,NY,12401,18.9,15.9,15.1
KALEIDA HEALTH,"726 EXCHANGE STREET, SUITE 522",BUFFALO,NY,14210,16.3,13.8,14.6
ST JOSEPH'S MEDICAL CENTER,127 SOUTH BROADWAY,YONKERS,NY,10701,18.1,14.3,13.9
WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,20.1,15.6,18.3
BRONX-LEBANON HOSPITAL CENTER,1276 FULTON AVENUE,BRONX,NY,10456,19,13.5,14.2
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",169 RIVERSIDE DRIVE,BINGHAMTON,NY,13905,17.9,15.8,16.4
ALBANY MEDICAL CENTER HOSPITAL,43 NEW SCOTLAND AVENUE,ALBANY,NY,12208,17.6,13.5,13.1
JAMAICA HOSPITAL MEDICAL CENTER,89TH AVENUE AND VAN WYCK EXPRESSWAY,JAMAICA,NY,11418,17.8,15,16.5
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",2525 KINGS HIGHWAY,BROOKLYN,NY,11229,18.8,12.6,14.8
VASSAR BROTHERS MEDICAL CENTER,45 READE PLACE,POUGHKEEPSIE,NY,12601,15.7,12.4,14.2
MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,16.4,10.7,10.7
NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,22.1,17.8,18.5
RICHMOND UNIVERSITY MEDICAL CENTER,355 BARD AVENUE,STATEN ISLAND,NY,10304,19.2,14.5,17.2
SHEEHAN MEMORIAL HOSPITAL,425 MICHIGAN AVENUE,BUFFALO,NY,14203,Not Available,Not Available,Not Available
NEWARK-WAYNE COMMUNITY HOSPITAL,111 DRIVING PARK AVENUE,NEWARK,NY,14513,17.6,16.6,17.7
"CHENANGO MEMORIAL HOSPITAL, INC",179 NORTH BROAD STREET,NORWICH,NY,13815,19.8,14.7,17.3
LAKESIDE MEMORIAL HOSPITAL,156 WEST AVENUE,BROCKPORT,NY,14420,20.5,16.6,15.6
SOUTHSIDE HOSPITAL,301 EAST MAIN STREET,BAY SHORE,NY,11706,16.7,15.3,16.5
FAXTON-ST LUKE'S HEALTHCARE,1656 CHAMPLIN AVENUE,UTICA,NY,13503,20.1,14.9,14.2
HUNTINGTON HOSPITAL,270 PARK AVENUE,HUNTINGTON,NY,11743,19.2,12.5,13.3
ST LUKE'S ROOSEVELT HOSPITAL,1111 AMSTERDAM AVENUE,NEW YORK,NY,10025,15.8,12.5,13
ST MARY'S HOSPITAL AT AMSTERDAM,427 GUY PARK AVENUE,AMSTERDAM,NY,12010,17.6,13,16.4
NORTHERN DUTCHESS HOSPITAL,6511 SPRINGBROOK AVENUE,RHINEBECK,NY,12572,17.8,15.7,15
MEDINA MEMORIAL HOSPITAL,200 OHIO STREET,MEDINA,NY,14103,21,18.9,16.7
